#property	value
Biosample	EXR-ANACC12017NORM6A45-BS
- Status	Protect
- Name	Urine_45
* Related Experiments	1
*- Related Experiment	EXR-ANACC12017NORM6-EX
*-- DocURL	coll/Experiments/doc/EXR-ANACC12017NORM6-EX
- Donor ID	EXR-ANACC12017NORM6A45-DO
-- DocURL	coll/Donors/doc/EXR-ANACC12017NORM6A45-DO
- Biological Sample Elements	
-- Biological Fluid	
--- Biofluid Name	Urine
-- Species	
--- Common Name	Human
--- Scientific Name	Homo sapiens
--- Taxon ID	9606
-- Anatomical Location	Urinary system structure
-- Disease Type	Healthy Control
- Molecular Sample Elements	
-- exRNA Source	total cell-free biofluid RNA
-- Fractionation	Yes
